-0.60885,18.707,5.5553,2.661,-5.3505,-1.2813,-0.49308,0.88943,-0.6416,-2.1778,1.1913,0.60003,-1.9806,0.61242,0.95921,-12.319,-2.2342,-2.2647,29.573,-3.8874,3.8585,11.83,-1.5349,1.2947,-3.065e-14,-1.0883e-14,-47.053,-1.4609,-87.274,41.109,22.958,-6.2639,-34.599,7.125,19.579,-63.633,-3.065e-14,-1.0883e-14,-41.658,-1.9336,91.335,35.538,-7.0473,-8.6654,-32.271,7.125,17.268,-3.0186,0,0,0,0,0,0,0,-4.1171,-7.763,-13.915,20.432,-25.729,19.034,-53.267
-0.60888,18.707,5.5545,2.6547,-5.347,-1.2918,-0.4821,0.90057,-0.61401,-2.183,1.2062,0.59376,-1.9917,0.61939,0.9369,-12.31,-2.2334,-2.2299,29.56,-3.8883,3.8389,11.822,-1.5341,1.2812,1.5148e-14,1.0834e-14,-47.053,-1.4747,-87.257,41.072,22.975,-6.2672,-34.466,7.125,19.576,-63.501,1.5148e-14,1.0834e-14,-41.675,-1.9253,91.318,35.562,-7.0562,-8.6942,-32.367,7.125,17.241,-3.1116,0,0,0,0,0,0,0,-4.1288,-7.7354,-13.898,20.461,-25.713,19.002,-53.256
-0.60827,18.706,5.5538,2.6514,-5.3257,-1.2931,-0.48502,0.90538,-0.58903,-2.1748,1.2126,0.58208,-1.981,0.62196,0.91098,-12.311,-2.2245,-2.1985,29.52,-3.8838,3.8472,11.806,-1.5277,1.2792,-1.2896e-14,-5.4666e-16,-47.043,-1.432,-87.25,41.084,22.955,-6.2363,-34.464,7.125,19.605,-63.495,-1.2896e-14,-5.4666e-16,-41.671,-1.8979,91.29,35.597,-7.055,-8.6916,-32.399,7.125,17.243,-3.1437,0,0,0,0,0,0,0,-4.1418,-7.7375,-13.896,20.48,-25.713,18.983,-53.292
-0.60829,18.706,5.5534,2.6498,-5.3011,-1.3061,-0.49624,0.9068,-0.56224,-2.161,1.2147,0.58117,-1.96,0.62238,0.89535,-12.334,-2.2278,-2.2036,29.496,-3.8892,3.8589,11.801,-1.5291,1.2833,2.1762e-14,7.4047e-15,-47.027,-1.4618,-87.233,41.098,22.956,-6.3051,-34.492,7.125,19.539,-63.53,2.1762e-14,7.4047e-15,-41.641,-1.8715,91.276,35.617,-7.0429,-8.6609,-32.336,7.125,17.273,-3.0832,0,0,0,0,0,0,0,-4.1491,-7.7519,-13.882,20.493,-25.702,18.987,-53.383
-0.60853,18.707,5.5528,2.653,-5.3007,-1.3094,-0.51254,0.90594,-0.55609,-2.152,1.2136,0.58186,-1.9415,0.62165,0.89299,-12.368,-2.2257,-2.2083,29.5,-3.8843,3.8579,11.81,-1.527,1.2841,4.8003e-15,7.4544e-15,-46.973,-1.4927,-87.234,41.061,22.942,-6.3206,-34.506,7.125,19.524,-63.546,4.8003e-15,7.4544e-15,-41.59,-1.8529,91.267,35.599,-7.0252,-8.6681,-32.255,7.125,17.266,-3.0016,0,0,0,0,0,0,0,-4.1517,-7.7539,-13.878,20.493,-25.691,19.009,-53.398
-0.6091,18.707,5.5525,2.6431,-5.3168,-1.3029,-0.53172,0.90236,-0.56583,-2.1416,1.2087,0.57985,-1.9201,0.61927,0.89688,-12.343,-2.2039,-2.2036,29.47,-3.8552,3.8658,11.792,-1.5131,1.2902,-1.0821e-14,3.1805e-15,-46.938,-1.4285,-87.261,41.059,22.858,-6.1897,-34.627,7.125,19.65,-63.654,-1.0821e-14,3.1805e-15,-41.558,-1.8253,91.244,35.593,-7.0174,-8.6869,-32.192,7.125,17.248,-2.9374,0,0,0,0,0,0,0,-4.1378,-7.758,-13.885,20.486,-25.721,19.018,-53.347
-0.61007,18.706,5.5526,2.6307,-5.3242,-1.2926,-0.54679,0.90297,-0.57906,-2.1385,1.2094,0.57211,-1.9086,0.61969,0.89664,-12.281,-2.1788,-2.1667,29.417,-3.8204,3.8465,11.756,-1.497,1.2816,-3.488e-15,2.5345e-15,-46.956,-1.3507,-87.286,41.099,22.751,-6.1398,-34.69,7.125,19.698,-63.711,-3.488e-15,2.5345e-15,-41.558,-1.8471,91.229,35.605,-6.9843,-8.6706,-32.171,7.125,17.264,-2.9179,0,0,0,0,0,0,0,-4.1222,-7.7468,-13.893,20.479,-25.729,19.003,-53.359
-0.60996,18.707,5.552,2.6325,-5.3136,-1.2815,-0.55551,0.89823,-0.57654,-2.1458,1.2029,0.55985,-1.9106,0.61633,0.88283,-12.261,-2.1619,-2.1102,29.402,-3.7944,3.7967,11.742,-1.4857,1.2569,6.3223e-15,-3.4787e-15,-46.966,-1.3256,-87.296,41.111,22.728,-6.2813,-34.501,7.125,19.562,-63.537,6.3223e-15,-3.4787e-15,-41.553,-1.8725,91.214,35.606,-6.9633,-8.6392,-32.19,7.125,17.294,-2.9397,0,0,0,0,0,0,0,-4.1241,-7.7302,-13.903,20.47,-25.689,18.995,-53.403
-0.60971,18.707,5.5514,2.6405,-5.311,-1.2777,-0.56945,0.88765,-0.57352,-2.1536,1.1888,0.55823,-1.9104,0.60925,0.87981,-12.269,-2.156,-2.0708,29.414,-3.7789,3.7392,11.746,-1.4813,1.2308,-8.7869e-15,2.9818e-15,-46.959,-1.2969,-87.3,41.116,22.737,-6.3816,-34.333,7.125,19.465,-63.379,-8.7869e-15,2.9818e-15,-41.547,-1.849,91.199,35.614,-6.9396,-8.6333,-32.163,7.125,17.299,-2.9127,0,0,0,0,0,0,0,-4.1319,-7.7276,-13.908,20.465,-25.686,18.996,-53.434
-0.61059,18.706,5.5517,2.6398,-5.3284,-1.2731,-0.58249,0.89079,-0.58842,-2.1558,1.1931,0.56154,-1.9059,0.61164,0.8917,-12.273,-2.1597,-2.0823,29.416,-3.7782,3.7286,11.748,-1.4835,1.2289,-1.9097e-14,5.9635e-16,-46.947,-1.2829,-87.301,41.125,22.752,-6.2984,-34.393,7.125,19.546,-63.431,-1.9097e-14,5.9635e-16,-41.544,-1.8487,91.204,35.623,-6.8875,-8.701,-32.114,7.125,17.234,-2.8578,0,0,0,0,0,0,0,-4.1314,-7.7001,-13.91,20.468,-25.71,18.981,-53.471
